Partner Program Name,Type,"Latitude, Longitude",Visible Street Address,Visible Street Address Line 2,City,State,Zip,Open Date,Close Date,Days,Hours,Frequency,Website,Instagram,Facebook,Region,Notes
61st Street Farmers Market,Farmers Market,"41.78419797229684, -87.59057787685639",6100 S Blackstone Ave,,Chicago,IL,60637,5/17/2025,10/25/2025,Saturday,09:00 AM - 02:00 PM,Weekly,http://61market.org/,http://www.instagram.com/61market,http://www.facebook.com/61market,Chicago (South),
Alton Farmers' & Artisans' Market,Farmers Market,"38.88904044329888, -90.1787931881473",501 Landmarks Blvd,,Alton,IL,62002,5/10/2025,10/18/2025,Saturday,08:00 AM - 12:00 PM,Weekly,https://downtownalton.com/events/alton-farmers-artisans-market/,http://www.instagram.com/altonfarmersmarket,http://www.facebook.com/altonfarmersmarket,Southern IL,
Andersonville Farmers Market,Farmers Market,"41.97548579899612, -87.66829574568264",1500 W Winona Ave,,Chicago,IL,60640,5/14/2025,10/22/2025,Wednesday,03:00 PM - 07:00 PM,Weekly,http://andersonvillemarket.org,http://www.instagram.com/avillefarmersmarket,http://www.facebook.com/AvilleFarmersMarket,Chicago (North),
Aurora Farmers Market,Farmers Market,"41.756183114000464, -88.31519055927288",65 S Water St,,Aurora,IL,60505,6/7/2025,10/4/2025,Saturday,08:00 AM - 12:00 PM,Weekly,http://www.aurora-il.org/1595/Aurora-Farmers-Market,http://www.instagram.com/aurorailfarmersmarket,http://www.facebook.com/AuroraILFarmersMarket/,Chicago Suburbs,
Aurora Farmers Market West,Farmers Market,"41.76515721773567, -88.3655652584766",1999 W Galena Blvd,,Aurora,IL,60506,7/2/2025,8/20/2025,Wednesday,10:00 AM - 02:00 PM,Weekly,http://www.aurora-il.org/1595/Aurora-Farmers-Market,http://www.instagram.com/aurorailfarmersmarket,http://www.facebook.com/AuroraILFarmersMarket/,Chicago Suburbs,
Austin Town Hall Farmers Market,Farmers Market,"41.888449425198985, -87.76580140323851",5610 W Lake Street,,Chicago,IL,60644,6/12/2025,10/30/2025,Thursday,01:00 PM - 06:00 PM,Weekly,http://fortyacresfreshmarket.com/delivery,http://www.instagram.com/fortyacresfreshmarket,http://www.facebook.com/people/Forty-Acres-Fresh-Market/100084716291348/,Chicago (West),
Batavia Farmers' Market,Farmers Market,"41.85021907506605, -88.30603127637383",N River St,Between Wilson & Spring St,Batavia,IL,60510,5/17/2025,10/25/2025,"Wednesday, Saturday","05:00 PM - 08:00 PM, 08:00 AM - 12:00 PM",Weekly,https://downtownbatavia.com/farmers-markets/,http://www.instagram.com/bataviafarmersmarket/,http://www.facebook.com/BataviaFarmersMarket,Chicago Suburbs,
Belleville Farmer's Market (N Belt West),Retail Space,"38.54208631174143, -90.00550764469757",1901 N Belt West,,Belleville,IL,62226,5/1/2025,12/31/2025,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",08:00 AM - 06:00 PM 08:00 AM - 06:00 PM 08:00 AM - 06:00 PM 08:00 AM - 06:00 PM 08:00 AM - 06:00 PM 09:00 AM - 05:00 PM 09:00 AM - 05:00 PM,Weekly,http://www.farmersmarketbelleville.com,http://www.instagram.com/farmersmarketbelleville,http://www.facebook.com/farmersmarketnorthillinois/,Southern IL,
Belleville Farmer's Market (N Illinois St),Retail Space,"38.519606297906186, -89.9838183888762",500 N Illinois St,,Belleville,IL,62220,5/1/2025,12/31/2025,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",09:00 AM - 06:00 PM 09:00 AM - 06:00 PM 09:00 AM - 06:00 PM 09:00 AM - 06:00 PM 09:00 AM - 06:00 PM 09:00 AM - 05:00 PM 09:00 AM - 05:00 PM,Weekly,http://www.farmersmarketbelleville.com,http://www.instagram.com/farmersmarketbelleville,http://www.facebook.com/farmersmarketnorthillinois/,Southern IL,
Benton Farmers Market,Farmers Market,"37.99114143678938, -88.92650090341169",414 W Hudelson St,Benton City Park,Benton,IL,62812,5/1/2025,10/30/2025,Thursday,03:00 PM - 06:00 PM,Weekly,,http://www.instagram.com/bentonilfarmersmarket/,http://www.facebook.com/p/Benton-Farmers-Market-61558226954559/,Southern IL,
Broadview Farm and Gardens Farm Stand,Farm Stand,"42.2563841706937, -88.56358148659007",18720 Il Rte 176,,Marengo,IL,60152,5/19/2025,10/31/2025,"Monday, Tuesday, Thursday, Friday, Saturday",10:00 AM - 06:00 PM 10:00 AM - 06:00 PM  10:00 AM - 06:00 PM 10:00 AM - 06:00 PM 10:00 AM - 06:00 PM,Weekly,http://www.broadviewfarmandgardens.com/,http://www.instagram.com/broadviewfarmandgardens/,http://www.facebook.com/broadviewfarmandgardens/,Northern IL,
Bronzeville Farmers Market,Farmers Market,"41.80938230970444, -87.61712144569022",4702 S Martin Luther King Dr,,Chicago,IL,60615,7/13/2025,10/19/2025,Sunday,10:00 AM - 02:00 PM,Weekly,http://www.theurbancanopy.org/,http://www.instagram.com/theurbancanopy/,http://www.facebook.com/people/The-Urban-Canopy/61557158537143/#,Chicago (South),
